项目名称,采购单位,代理机构,中标成交方,金额元,截止时间,发布日期,联系人,联系方式,地址,项目编号,来源链接
AI+跨境电商垂类模型建设项目,临沂职业学院本级,山东立行建设项目管理有限公司,,2507400,2026-08-04 09:00:00,2026-07-13,田娟,18053957722,临沂市罗庄区湖东路63号(临沂职业学院),SDGP371300000202602000460,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26926160.htm
AI+数据双轮驱动学科核心素养提升工程,长治市教育局,名称 不存在 代理机构地址 / 代理机构联系方式 / 一、项目信息 采购人： 长治市教育局 项目名称： AI+数据双轮驱动学科核心素养提升工程 拟采购的货物或服,中国人民大学文化科技园(北京人大文化科技园建设发展有限公司),2400000,2026-07-20,2026-07-13,牛牧笛,18535649268,山西省长治市政务中心B座15层,,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202607/t20260713_26924927.htm
广西现代职业技术学院基于人工智能的第二期工业机器人技术专业群资源库建设,广西现代职业技术学院,泾清项目管理有限公司,广西创宁信息技术有限公司,2060000,,2026-07-13,刘冬云,0778-2304338,河池市金城江区金城西路2号,HCZC2026-C3-990072-JQXM,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202607/t20260713_26924824.htm
职业教育人工智能专业领域垂类模型建设项目,河北软件职业技术学院,河北省公共资源交易中心,,2000000,2026-07-21 17:30:00,2026-07-13,庞颖茜,0311-66635036,保定市东风东路999号,Z130000261611,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26925778.htm
北京航空航天大学自动化科学与电气工程学院工业大模型设计与验证模块,北京航空航天大学,北京华审金建国际工程项目管理有限公司,,2000000,2026-07-20 16:00:00,2026-07-13,张焦,15732671544,北京市海淀区学院路37号,BUAAZB20260066,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260713_26922396.htm
人工智能学院《无人机应用技术》专业实训室项目（重）,广西国际商务职业技术学院,广西工程咨询集团有限公司,,1853380,2026-07-20,2026-07-13,伍毅菲、庞川云、潘玫妃,0771-2231082,广西南宁市大学东路168号,GXZC2026-C3-002218-GXGC,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260713_26923766.htm
人工智能与机器人教学实训中心,深圳城市职业学院（深圳技师学院）,深圳高星项目管理有限公司,,1832000,2026-07-24 14:00:00,2026-07-13,施工,0755-84867948,深圳市龙岗区龙城街道五联社区将军帽路1号,SZDL2026001222,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26925359.htm
镇雄县廉镇通平台建设大模型算力训练推理服务器采购项目,镇雄县政务服务管理局,镇雄县政府采购和出让中心,,1700000,2026-07-17 09:30:00,2026-07-13,镇雄县政府采购和出让中心,0870-3075071,镇雄县旧府街道办事处芒部路北段,ZTZC2026-X1-00814-ZXXZ-0005,http://www.ccgp.gov.cn/cggg/dfgg/xjgg/202607/t20260713_26924156.htm
本科AI智慧课程建设,延边大学,中安恒通招标（吉林）有限公司,,1690000,2026-07-20 16:00:00,2026-07-13,杨柳,13404769010,吉林省延吉市,采购计划-[2026]-07866号-ZAHT-2026-0708,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260713_26921943.htm
2026年夷陵区国省道公路AI巡检车载终端设施及服务采购项目（第二次采购）,宜昌市夷陵区公路建设养护中心,宜昌朗坤项目管理有限公司,,1200000,2026-07-24 08:00:00,2026-07-13,杨晓玲,17671267770,宜昌市夷陵区小溪塔夷兴大道 38号,420506202606000687（2）,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260713_26922750.htm
山东工业职业学院人工智能开放型区域产教融合实践中心-AI智能体应用开发实训室采购项目（1505）,山东工业职业学院,山东三木招标有限公司,山东贝利特信息科技有限公司,1112020,,2026-07-13,周文攀,0531-66589933,山东省淄博市桓台县张北路69号,SDGP370000000202602004966,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260713_26926126.htm
